ID,Name,Age,JoinDate,Salary,Department
1,Person_1,29,2022-06-01,101261.35,Marketing
2,Person_2,43,2020-08-23,90128.9,Finance
3,Person_3,28,2021-06-10,56290.12,Marketing
4,Person_4,59,2022-03-09,35134.81,Finance
5,Person_5,61,2021-01-30,55107.54,Sales
6,Person_6,42,2020-02-22,55260.81,HR
7,Person_7,40,2022-10-11,73051.91,HR
8,Person_8,37,2021-06-09,51186.28,Finance
9,Person_9,40,2022-06-28,49224.28,Marketing
10,Person_10,32,2021-02-12,79287.15,IT
11,Person_11,62,2022-11-16,69304.1,HR
12,Person_12,39,2020-12-10,89535.92,Finance
13,Person_13,55,2020-01-17,106583.39,Finance
14,Person_14,39,2021-08-22,89264.29,IT
15,Person_15,18,2022-02-06,35939.54,Sales
16,Person_16,55,2021-07-09,51479.07,Marketing
17,Person_17,31,2021-01-26,30810.06,HR
18,Person_18,25,2021-04-03,57896.71,Finance
19,Person_19,42,2020-10-29,46218.77,HR
20,Person_20,50,2020-10-16,47365.33,Sales
21,Person_21,44,2021-03-07,77691.11,Finance
22,Person_22,27,2022-10-01,50327.53,Marketing
23,Person_23,39,2020-03-19,32422.59,HR
24,Person_24,33,2022-01-18,38658.52,Finance
25,Person_25,50,2021-03-17,53324.68,Finance
26,Person_26,19,2022-02-08,79211.19,Sales
27,Person_27,37,2022-08-24,82220.63,HR
28,Person_28,30,2022-03-03,55215.86,HR
29,Person_29,29,2021-09-27,82514.24,Sales
30,Person_30,26,2022-09-22,94707.9,Sales
31,Person_31,23,2020-01-28,65759.66,IT
32,Person_32,19,2020-12-12,82153.28,Sales
33,Person_33,33,2020-08-17,42482.0,HR
34,Person_34,39,2020-08-30,73822.41,Sales
35,Person_35,52,2021-09-19,118703.15,Marketing
36,Person_36,18,2020-01-12,41414.65,Marketing
37,Person_37,30,2020-05-15,92243.27,Finance
38,Person_38,64,2022-10-28,87137.8,Finance
39,Person_39,45,2022-08-19,94213.27,Finance
40,Person_40,26,2021-06-02,55855.79,Marketing
41,Person_41,33,2021-02-07,71554.99,Finance
42,Person_42,28,2022-07-31,93820.9,IT
43,Person_43,18,2021-12-11,58898.62,Marketing
44,Person_44,46,2021-02-14,105189.0,Finance
45,Person_45,37,2020-02-15,34451.96,Marketing
46,Person_46,48,2021-06-30,53171.7,IT
47,Person_47,26,2021-01-19,75835.16,Finance
48,Person_48,65,2020-04-06,46909.47,HR
49,Person_49,27,2022-08-02,61325.87,Finance
50,Person_50,18,2021-01-08,108673.79,HR
